DATE,CARD_ID,PRICE
09/09/2024,bw10-14,0.49
16/09/2024,bw10-14,0.49
23/09/2024,bw10-14,0.49
30/09/2024,bw10-14,0.51
07/10/2024,bw10-14,0.51
14/10/2024,bw10-14,0.5
21/10/2024,bw10-14,0.49
28/10/2024,bw10-14,0.49
04/11/2024,bw10-14,0.49
11/11/2024,bw10-14,0.49
18/11/2024,bw10-14,0.49
25/11/2024,bw10-14,0.49
02/12/2024,bw10-14,0.48
09/12/2024,bw10-14,0.47
16/12/2024,bw10-14,0.47
23/12/2024,bw10-14,0.43
30/12/2024,bw10-14,0.44
06/01/2025,bw10-14,0.44
13/01/2025,bw10-14,0.46
20/01/2025,bw10-14,0.46
27/01/2025,bw10-14,0.46
03/02/2025,bw10-14,0.46
10/02/2025,bw10-14,0.46
17/02/2025,bw10-14,0.46
24/02/2025,bw10-14,0.46
03/03/2025,bw10-14,0.45
10/03/2025,bw10-14,0.44
17/03/2025,bw10-14,0.44
24/03/2025,bw10-14,0.43
31/03/2025,bw10-14,0.42
07/04/2025,bw10-14,0.42
14/04/2025,bw10-14,0.41
21/04/2025,bw10-14,0.41
28/04/2025,bw10-14,0.42
05/05/2025,bw10-14,0.42
12/05/2025,bw10-14,0.42
19/05/2025,bw10-14,0.42
26/05/2025,bw10-14,0.42
02/06/2025,bw10-14,0.42
09/06/2025,bw10-14,0.42
16/06/2025,bw10-14,0.42
23/06/2025,bw10-14,0.48
30/06/2025,bw10-14,0.48
07/07/2025,bw10-14,0.46
14/07/2025,bw10-14,0.46
21/07/2025,bw10-14,0.46
28/07/2025,bw10-14,0.47
04/08/2025,bw10-14,0.47
11/08/2025,bw10-14,0.46
18/08/2025,bw10-14,0.46
25/08/2025,bw10-14,0.47
01/09/2025,bw10-14,0.47
